node_id,IP_address,ASN,latitude,longitude,city,region,country
0,172.31.1.1,AS???,,,,,
1,65.108.117.172,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI
2,88.198.254.105,AS24940,60.2941,25.041,Vantaa,Uusimaa,FI
3,213.239.228.37,AS24940,60.2941,25.041,Vantaa,Uusimaa,FI
4,213.239.228.1,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI
5,213.239.224.37,AS24940,60.2941,25.041,Vantaa,Uusimaa,FI
6,213.248.95.242,AS1299,60.2941,25.041,Vantaa,Uusimaa,FI
7,62.115.137.135,AS1299,60.1695,24.9354,Helsinki,Uusimaa,FI
8,62.115.123.26,AS1299,59.3294,18.0687,Stockholm,Stockholm,SE
9,62.115.143.29,AS1299,50.1155,8.6842,Frankfurt am Main,Hesse,DE
10,62.115.136.249,AS1299,43.297,5.3811,Marseille,Provence-Alpes-Côte d'Azur,FR
11,62.115.140.55,AS1299,1.2897,103.8501,Singapore,Singapore,SG
12,62.115.136.199,AS1299,1.2897,103.8501,Singapore,Singapore,SG
13,62.115.170.55,AS1299,1.2897,103.8501,Singapore,Singapore,SG
14,5.223.0.74,AS215859,1.2897,103.8501,Singapore,Singapore,SG
15,5.223.8.141,AS215859,1.2897,103.8501,Singapore,Singapore,SG
16,5.223.62.210,AS215859,1.2897,103.8501,Singapore,Singapore,SG
17,88.198.254.109,AS24940,60.2941,25.041,Vantaa,Uusimaa,FI
18,213.239.228.41,AS24940,60.2941,25.041,Vantaa,Uusimaa,FI
19,212.133.6.1,AS3356,60.2941,25.041,Vantaa,Uusimaa,FI
20,4.69.218.234,AS3356,45.5234,-122.6762,Portland,Oregon,US
21,4.36.13.30,AS3356,45.5234,-122.6762,Portland,Oregon,US
22,5.78.0.82,AS212317,45.5234,-122.6762,Portland,Oregon,US
23,5.78.8.250,AS212317,45.5229,-122.9898,Hillsboro,Oregon,US
24,5.78.98.32,AS212317,45.5229,-122.9898,Hillsboro,Oregon,US
25,172.18.176.1,AS???,,,,,
26,192.168.84.14,AS???,,,,,
27,10.0.81.130,AS???,,,,,
28,10.81.102.88,AS???,,,,,
29,10.81.85.22,AS???,,,,,
30,62.53.206.66,AS6805,51.3364,6.5538,Krefeld,North Rhine-Westphalia,DE
31,62.53.8.133,AS6805,48.1374,11.5755,Munich,Bavaria,DE
32,80.255.14.194,AS201011,59.3294,18.0687,Stockholm,Stockholm,SE
33,80.255.15.126,AS201011,59.3294,18.0687,Stockholm,Stockholm,SE
34,213.239.252.73,AS24940,59.3294,18.0687,Stockholm,Stockholm,SE
35,213.239.254.61,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI
36,213.239.228.10,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI
37,213.239.228.62,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI
38,65.108.94.222,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI
39,10.0.81.131,AS???,,,,,
40,10.81.102.94,AS???,,,,,
