,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,,0.8880000000000008,11.841999999999999,15.305,17.786,20.089000000000002,20.313,28.818,30.108000000000004,30.108000000000004,16.379,17.439,21.233,21.233,21.233,21.233,18.006999999999998,18.006999999999998,21.347,103.759,104.75399999999999,107.579,124.726,136.529,136.529,136.529,136.529,237.809,240.67399999999998,240.67399999999998,242.453,243.53,243.53,20.62,39.089,39.089,39.089,41.291999999999994
1,0.8880000000000008,,7.198999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11.841999999999999,7.198999999999998,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15.305,,0.0,,1.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17.786,,,1.032,,2.303000000000001,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.6099999999999994,,,,
5,20.089000000000002,,,,2.303000000000001,,0.22399999999999665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20.313,,,,,0.22399999999999665,,8.505000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,28.818,,,,,,8.505000000000003,,1.2900000000000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,30.108000000000004,,,,,,,1.2900000000000027,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30.108000000000004,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16.379,,0.0,,,,,,,,,1.0599999999999987,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17.439,,,,,,,,,,1.0599999999999987,,3.7940000000000005,,,,,,,,,,,,,,,,,,,,,,,,,
12,21.233,,,,,,,,,,,3.7940000000000005,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
13,21.233,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
14,21.233,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
15,21.233,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
16,18.006999999999998,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
17,18.006999999999998,,,,,,,,,,,,,,,,0.0,,3.3400000000000034,,,,,,,,,,,,,,,,,,,
18,21.347,,,,,,,,,,,,,,,,,3.3400000000000034,,82.412,,,,,,,,,,,,,,,,,,
19,103.759,,,,,,,,,,,,,,,,,,82.412,,0.9949999999999903,,,,,,,,,,,,,,,,,
20,104.75399999999999,,,,,,,,,,,,,,,,,,,0.9949999999999903,,2.825000000000003,,,,,,,,,,,,,,,,
21,107.579,,,,,,,,,,,,,,,,,,,,2.825000000000003,,17.147000000000006,,,,,,,,,,,,,,,
22,124.726,,,,,,,,,,,,,,,,,,,,,17.147000000000006,,11.802999999999997,,,,,,,,,,,,,,
23,136.529,,,,,,,,,,,,,,,,,,,,,,11.802999999999997,,0.0,,,,,,,,,,,,,
24,136.529,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,
25,136.529,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
26,136.529,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,101.28,,,,,,,,,,
27,237.809,,,,,,,,,,,,,,,,,,,,,,,,,,101.28,,2.8649999999999807,,,,,,,,,
28,240.67399999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8649999999999807,,0.0,,,,,,,,
29,240.67399999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.7790000000000248,,,,,,,
30,242.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7790000000000248,,1.0769999999999982,,,,,,
31,243.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0769999999999982,,0.0,,,,,
32,243.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
33,20.62,,,,2.6099999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.468999999999998,,,
34,39.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.468999999999998,,0.0,,
35,39.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
36,39.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.202999999999996
37,41.291999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.202999999999996,
