IP_address,ASN,latitude,longitude,city,region,country,org
65.108.94.222,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
5.223.62.210,AS215859,1.2897,103.8501,Singapore,Singapore,SG,AS215859 Hetzner Online GmbH
5.78.98.32,AS212317,45.5229,-122.9898,Hillsboro,Oregon,US,AS212317 Hetzner Online GmbH
94.130.9.22,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
95.216.230.106,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
135.181.2.250,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
78.47.227.144,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
95.216.230.96,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
65.108.71.46,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
135.181.143.150,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.217.125.125,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
65.21.136.102,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
142.132.192.57,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
157.90.21.143,AS24940,49.4542,11.0775,Nürnberg,Bavaria,DE,AS24940 Hetzner Online GmbH
178.63.50.88,AS24940,50.4779,12.3713,Falkenstein,Saxony,DE,AS24940 Hetzner Online GmbH
65.21.237.119,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
95.217.48.126,AS24940,60.1695,24.9354,Helsinki,Uusimaa,FI,AS24940 Hetzner Online GmbH
