,65.108.117.172,88.198.254.105,213.239.228.37,213.239.228.1,213.239.224.37,213.248.95.242,62.115.137.135,62.115.123.26,62.115.143.29,62.115.136.249,62.115.140.55,62.115.136.199,62.115.170.55,5.223.0.74,5.223.8.141,5.223.62.210,88.198.254.109,213.239.228.41,212.133.6.1,4.69.218.234,4.36.13.30,5.78.0.82,5.78.8.250,5.78.98.32,62.53.206.66,62.53.8.133,80.255.14.194,80.255.15.126,213.239.252.73,213.239.254.61,213.239.228.10,213.239.228.62,65.108.94.222,62.53.6.189,62.53.6.127,62.53.2.151,62.53.28.169,176.52.252.32,94.144.107.49,129.250.2.8,129.250.6.65,116.51.31.51,5.223.0.82,62.53.4.160,62.53.0.149,62.53.28.149,62.53.8.187,176.52.252.28,94.142.107.201,195.219.50.75,80.231.245.40,80.231.245.12,80.231.154.27,195.219.213.129,66.110.28.12,66.110.28.15,5.78.0.86,83.169.183.70,88.134.202.217,145.254.3.102,145.254.2.209,213.133.121.193,213.239.252.9,213.239.224.150,145.254.2.181,195.2.5.13,195.2.18.182,62.115.174.154,62.115.114.90,62.115.136.251,62.115.122.26,5.223.0.78,62.115.141.148,62.115.123.13,62.115.135.24,62.115.139.244,62.115.115.76,62.115.139.107,62.115.115.25,62.115.112.45,80.239.132.89,5.78.0.185,5.78.0.77,4.39.3.245,171.75.10.35,212.133.6.2,213.239.224.26,213.239.228.6,213.239.228.38,198.32.195.42,5.223.0.181,5.223.0.85,5.223.0.69,62.115.170.54,62.115.136.198,62.115.140.42,62.115.136.250,62.115.138.104,62.115.122.35,62.115.137.118,213.248.95.243,213.239.228.14,5.223.0.133,5.223.0.73,103.60.60.117,132.147.112.109,184.105.64.138,5.78.0.78,184.105.64.137,5.223.0.81,5.223.0.77,184.105.213.118,184.105.64.253,62.115.140.50,62.115.137.119,62.115.122.32,62.115.141.219,184.105.64.254
65.108.117.172,0.0,0.15,0.15,0.0,0.15,0.15,0.0,3.97,15.17,22.94,92.69,92.69,92.69,92.69,92.69,92.69,0.15,0.15,0.15,79.25,79.25,79.25,79.32,79.32,15.07,15.92,3.97,3.97,3.97,0.0,0.0,0.0,0.0,15.92,15.07,15.17,15.17,15.17,8.81,15.17,92.69,92.69,92.69,15.07,15.07,15.17,15.17,15.17,15.17,15.17,19.13,19.13,19.13,18.26,79.32,76.95,79.25,15.92,15.92,15.17,15.17,16.03,15.17,0.0,15.92,15.92,15.17,15.17,15.17,22.94,92.69,92.69,15.17,19.13,18.26,66.79,80.27,87.79,79.25,79.25,76.95,79.25,79.25,79.25,0.0,0.0,0.0,0.0,0.0,79.22,92.69,92.69,92.69,92.69,92.69,22.94,15.17,3.97,0.0,0.0,0.0,0.0,92.69,92.69,92.69,92.69,79.25,79.25,76.95,92.69,92.69,78.38,92.69,22.94,0.0,3.97,3.97,78.38
88.198.254.105,0.15,0.0,0.0,0.15,0.0,0.0,0.15,4.06,15.31,23.08,92.66,92.66,92.66,92.66,92.66,92.66,0.0,0.0,0.0,79.14,79.14,79.14,79.21,79.21,15.2,16.06,4.06,4.06,4.06,0.15,0.15,0.15,0.15,16.06,15.2,15.31,15.31,15.31,8.92,15.31,92.66,92.66,92.66,15.2,15.2,15.31,15.31,15.31,15.31,15.31,19.25,19.25,19.25,18.36,79.21,76.85,79.14,16.06,16.06,15.31,15.31,16.18,15.31,0.15,16.06,16.06,15.31,15.31,15.31,23.08,92.66,92.66,15.31,19.25,18.36,66.77,80.2,87.7,79.14,79.14,76.85,79.14,79.14,79.14,0.15,0.15,0.15,0.15,0.15,79.12,92.66,92.66,92.66,92.66,92.66,23.08,15.31,4.06,0.15,0.15,0.15,0.15,92.66,92.66,92.66,92.66,79.14,79.14,76.85,92.66,92.66,78.25,92.66,23.08,0.15,4.06,4.06,78.25
213.239.228.37,0.15,0.0,0.0,0.15,0.0,0.0,0.15,4.06,15.31,23.08,92.66,92.66,92.66,92.66,92.66,92.66,0.0,0.0,0.0,79.14,79.14,79.14,79.21,79.21,15.2,16.06,4.06,4.06,4.06,0.15,0.15,0.15,0.15,16.06,15.2,15.31,15.31,15.31,8.92,15.31,92.66,92.66,92.66,15.2,15.2,15.31,15.31,15.31,15.31,15.31,19.25,19.25,19.25,18.36,79.21,76.85,79.14,16.06,16.06,15.31,15.31,16.18,15.31,0.15,16.06,16.06,15.31,15.31,15.31,23.08,92.66,92.66,15.31,19.25,18.36,66.77,80.2,87.7,79.14,79.14,76.85,79.14,79.14,79.14,0.15,0.15,0.15,0.15,0.15,79.12,92.66,92.66,92.66,92.66,92.66,23.08,15.31,4.06,0.15,0.15,0.15,0.15,92.66,92.66,92.66,92.66,79.14,79.14,76.85,92.66,92.66,78.25,92.66,23.08,0.15,4.06,4.06,78.25
213.239.228.1,0.0,0.15,0.15,0.0,0.15,0.15,0.0,3.97,15.17,22.94,92.69,92.69,92.69,92.69,92.69,92.69,0.15,0.15,0.15,79.25,79.25,79.25,79.32,79.32,15.07,15.92,3.97,3.97,3.97,0.0,0.0,0.0,0.0,15.92,15.07,15.17,15.17,15.17,8.81,15.17,92.69,92.69,92.69,15.07,15.07,15.17,15.17,15.17,15.17,15.17,19.13,19.13,19.13,18.26,79.32,76.95,79.25,15.92,15.92,15.17,15.17,16.03,15.17,0.0,15.92,15.92,15.17,15.17,15.17,22.94,92.69,92.69,15.17,19.13,18.26,66.79,80.27,87.79,79.25,79.25,76.95,79.25,79.25,79.25,0.0,0.0,0.0,0.0,0.0,79.22,92.69,92.69,92.69,92.69,92.69,22.94,15.17,3.97,0.0,0.0,0.0,0.0,92.69,92.69,92.69,92.69,79.25,79.25,76.95,92.69,92.69,78.38,92.69,22.94,0.0,3.97,3.97,78.38
213.239.224.37,0.15,0.0,0.0,0.15,0.0,0.0,0.15,4.06,15.31,23.08,92.66,92.66,92.66,92.66,92.66,92.66,0.0,0.0,0.0,79.14,79.14,79.14,79.21,79.21,15.2,16.06,4.06,4.06,4.06,0.15,0.15,0.15,0.15,16.06,15.2,15.31,15.31,15.31,8.92,15.31,92.66,92.66,92.66,15.2,15.2,15.31,15.31,15.31,15.31,15.31,19.25,19.25,19.25,18.36,79.21,76.85,79.14,16.06,16.06,15.31,15.31,16.18,15.31,0.15,16.06,16.06,15.31,15.31,15.31,23.08,92.66,92.66,15.31,19.25,18.36,66.77,80.2,87.7,79.14,79.14,76.85,79.14,79.14,79.14,0.15,0.15,0.15,0.15,0.15,79.12,92.66,92.66,92.66,92.66,92.66,23.08,15.31,4.06,0.15,0.15,0.15,0.15,92.66,92.66,92.66,92.66,79.14,79.14,76.85,92.66,92.66,78.25,92.66,23.08,0.15,4.06,4.06,78.25
213.248.95.242,0.15,0.0,0.0,0.15,0.0,0.0,0.15,4.06,15.31,23.08,92.66,92.66,92.66,92.66,92.66,92.66,0.0,0.0,0.0,79.14,79.14,79.14,79.21,79.21,15.2,16.06,4.06,4.06,4.06,0.15,0.15,0.15,0.15,16.06,15.2,15.31,15.31,15.31,8.92,15.31,92.66,92.66,92.66,15.2,15.2,15.31,15.31,15.31,15.31,15.31,19.25,19.25,19.25,18.36,79.21,76.85,79.14,16.06,16.06,15.31,15.31,16.18,15.31,0.15,16.06,16.06,15.31,15.31,15.31,23.08,92.66,92.66,15.31,19.25,18.36,66.77,80.2,87.7,79.14,79.14,76.85,79.14,79.14,79.14,0.15,0.15,0.15,0.15,0.15,79.12,92.66,92.66,92.66,92.66,92.66,23.08,15.31,4.06,0.15,0.15,0.15,0.15,92.66,92.66,92.66,92.66,79.14,79.14,76.85,92.66,92.66,78.25,92.66,23.08,0.15,4.06,4.06,78.25
62.115.137.135,0.0,0.15,0.15,0.0,0.15,0.15,0.0,3.97,15.17,22.94,92.69,92.69,92.69,92.69,92.69,92.69,0.15,0.15,0.15,79.25,79.25,79.25,79.32,79.32,15.07,15.92,3.97,3.97,3.97,0.0,0.0,0.0,0.0,15.92,15.07,15.17,15.17,15.17,8.81,15.17,92.69,92.69,92.69,15.07,15.07,15.17,15.17,15.17,15.17,15.17,19.13,19.13,19.13,18.26,79.32,76.95,79.25,15.92,15.92,15.17,15.17,16.03,15.17,0.0,15.92,15.92,15.17,15.17,15.17,22.94,92.69,92.69,15.17,19.13,18.26,66.79,80.27,87.79,79.25,79.25,76.95,79.25,79.25,79.25,0.0,0.0,0.0,0.0,0.0,79.22,92.69,92.69,92.69,92.69,92.69,22.94,15.17,3.97,0.0,0.0,0.0,0.0,92.69,92.69,92.69,92.69,79.25,79.25,76.95,92.69,92.69,78.38,92.69,22.94,0.0,3.97,3.97,78.38
62.115.123.26,3.97,4.06,4.06,3.97,4.06,4.06,3.97,0.0,11.88,19.83,96.44,96.44,96.44,96.44,96.44,96.44,4.06,4.06,4.06,78.42,78.42,78.42,78.5,78.5,11.48,13.16,0.0,0.0,0.0,3.97,3.97,3.97,3.97,13.16,11.48,11.88,11.88,11.88,5.12,11.88,96.44,96.44,96.44,11.48,11.48,11.88,11.88,11.88,11.88,11.88,15.47,15.47,15.47,14.36,78.5,76.15,78.42,13.16,13.16,11.88,11.88,13.27,11.88,3.97,13.16,13.16,11.88,11.88,11.88,19.83,96.44,96.44,11.88,15.47,14.36,63.83,78.46,86.75,78.42,78.42,76.15,78.42,78.42,78.42,3.97,3.97,3.97,3.97,3.97,78.38,96.44,96.44,96.44,96.44,96.44,19.83,11.88,0.0,3.97,3.97,3.97,3.97,96.44,96.44,96.44,96.44,78.42,78.42,76.15,96.44,96.44,81.9,96.44,19.83,3.97,0.0,0.0,81.9
62.115.143.29,15.17,15.31,15.31,15.17,15.31,15.31,15.17,11.88,0.0,7.99,102.69,102.69,102.69,102.69,102.69,102.69,15.31,15.31,15.31,84.18,84.18,84.18,84.3,84.3,2.03,3.05,11.88,11.88,11.88,15.17,15.17,15.17,15.17,3.05,2.03,0.0,0.0,0.0,6.91,0.0,102.69,102.69,102.69,2.03,2.03,0.0,0.0,0.0,0.0,0.0,4.8,4.8,4.8,6.4,84.3,82.04,84.18,3.05,3.05,0.0,0.0,3.1,0.0,15.17,3.05,3.05,0.0,0.0,0.0,7.99,102.69,102.69,0.0,4.8,6.4,62.79,81.37,91.76,84.18,84.18,82.04,84.18,84.18,84.18,15.17,15.17,15.17,15.17,15.17,84.12,102.69,102.69,102.69,102.69,102.69,7.99,0.0,11.88,15.17,15.17,15.17,15.17,102.69,102.69,102.69,102.69,84.18,84.18,82.04,102.69,102.69,93.54,102.69,7.99,15.17,11.88,11.88,93.54
62.115.136.249,22.94,23.08,23.08,22.94,23.08,23.08,22.94,19.83,7.99,0.0,105.99,105.99,105.99,105.99,105.99,105.99,23.08,23.08,23.08,89.11,89.11,89.11,89.25,89.25,8.98,7.22,19.83,19.83,19.83,22.94,22.94,22.94,22.94,7.22,8.98,7.99,7.99,7.99,14.89,7.99,105.99,105.99,105.99,8.98,8.98,7.99,7.99,7.99,7.99,7.99,6.61,6.61,6.61,10.02,89.25,87.07,89.11,7.22,7.22,7.99,7.99,7.12,7.99,22.94,7.22,7.22,7.99,7.99,7.99,0.0,105.99,105.99,7.99,6.61,10.02,63.9,84.61,96.13,89.11,89.11,87.07,89.11,89.11,89.11,22.94,22.94,22.94,22.94,22.94,89.03,105.99,105.99,105.99,105.99,105.99,0.0,7.99,19.83,22.94,22.94,22.94,22.94,105.99,105.99,105.99,105.99,89.11,89.11,87.07,105.99,105.99,101.13,105.99,0.0,22.94,19.83,19.83,101.13
