,172.18.176.1,192.168.84.14,10.0.81.130,10.81.102.88,10.81.85.22,62.53.206.66,62.53.8.133,80.255.14.194,80.255.15.126,213.239.252.73,213.239.254.61,213.239.228.10,213.239.228.62,65.108.117.172,65.108.94.222,10.0.81.131,10.81.102.94,62.53.6.189,62.53.6.127,62.53.2.151,62.53.28.169,176.52.252.32,94.144.107.49,129.250.2.8,129.250.6.65,116.51.31.51,5.223.0.82,5.223.8.141,5.223.62.210,10.81.102.90,62.53.4.160,62.53.0.149,62.53.28.149,62.53.8.187,176.52.252.28,94.142.107.201,195.219.50.75,80.231.245.40,80.231.245.12,80.231.154.27,195.219.213.129,66.110.28.12,66.110.28.15,5.78.0.86,5.78.8.250,5.78.98.32,192.168.0.1,83.169.183.70,88.134.202.217,145.254.3.102,145.254.2.209,213.133.121.193,213.239.252.9,213.239.224.150,145.254.2.181,195.2.5.13,195.2.18.182,62.115.174.154,62.115.114.90,62.115.136.251,62.115.122.26,62.115.136.199,62.115.170.55,5.223.0.78,62.115.141.148,62.115.123.13,62.115.135.24,62.115.139.244,62.115.115.76,62.115.139.107,62.115.115.25,62.115.112.45,80.239.132.89,5.78.0.82
172.18.176.1,,0.0,5.548000000000009,24.28,0.0,0.0,24.28,24.28,29.89999999999999,29.89999999999999,31.497,36.32599999999999,36.32599999999999,41.04,41.04,0.0,0.0,0.0,14.745000000000005,14.745000000000005,14.745000000000005,14.745000000000005,16.432000000000002,38.21699999999999,183.722,183.722,183.722,183.722,183.722,5.548000000000009,5.548000000000009,24.481,24.481,24.481,27.505,48.318,148.67,148.67,166.64000000000004,166.64000000000004,166.64000000000004,166.64000000000004,166.64000000000004,166.64000000000004,166.64000000000004,166.64000000000004,5.066,12.446000000000002,14.193999999999999,14.193999999999999,18.784,18.784,20.059,36.32599999999999,14.408999999999999,14.408999999999999,19.455,19.455,19.455,38.189,189.67399999999998,189.67399999999998,189.67399999999998,191.84799999999998,22.016000000000002,28.675,35.942,96.698,167.316,167.316,176.657,176.657,176.657,176.657
192.168.84.14,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0.81.130,5.548000000000009,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.81.102.88,24.28,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.81.85.22,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.53.206.66,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.53.8.133,24.28,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.255.14.194,24.28,,,,,,0.0,,5.61999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.255.15.126,29.89999999999999,,,,,,,5.61999999999999,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.239.252.73,29.89999999999999,,,,,,,,0.0,,1.5970000000000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
