,172.18.188.249,172.20.0.1,185.71.170.73,193.142.188.164,185.239.65.234,45.153.82.2,94.103.180.2,94.103.180.3,94.103.180.71,94.103.180.39,194.68.123.71,213.239.252.73,213.239.254.69,213.239.228.14,213.239.228.62,65.108.117.172,65.108.94.222,193.142.188.4,193.178.185.34,184.104.194.238,103.16.103.48,5.223.0.86,5.223.8.141,5.223.62.210,213.248.99.52,62.115.112.156,62.115.137.40,62.115.137.214,62.115.139.244,62.115.115.76,62.115.139.107,62.115.115.25,62.115.112.45,80.239.132.87,5.78.0.74,5.78.8.250,5.78.98.32
172.18.188.249,,0.0,0.0,2.6969999999999956,2.6969999999999956,2.6969999999999956,2.6969999999999956,2.6969999999999956,2.6969999999999956,2.6969999999999956,2.6969999999999956,2.6969999999999956,2.6969999999999956,2.6969999999999956,2.6969999999999956,2.6969999999999956,28.546999999999997,12.455,13.883000000000001,24.321,170.80100000000002,170.80100000000002,170.886,170.886,21.583000000000002,21.583000000000002,21.583000000000002,34.779,104.309,142.431,167.89600000000002,172.22500000000002,172.22500000000002,172.22500000000002,172.22500000000002,181.889,183.12900000000002
172.20.0.1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185.71.170.73,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.142.188.164,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185.239.65.234,,,,,,0.0,,,,,,,,,,,,0.5899999999999999,,,,,,,,,,,,,,,,,,,
45.153.82.2,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.103.180.2,,,,,,,,0.0,,,,,,,,,,,,,,,,,10.181000000000003,,,,,,,,,,,,
94.103.180.3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.103.180.71,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.103.180.39,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
194.68.123.71,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
213.239.252.73,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
213.239.254.69,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
213.239.228.14,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
213.239.228.62,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
65.108.117.172,,,,,,,,,,,,,,,,,25.85,,,,,,,,,,,,,,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.142.188.4,,,,,,,,,,,,,,,,,,,1.4280000000000008,,,,,,,,,,,,,,,,,,
193.178.185.34,,,,,,,,,,,,,,,,,,,,10.438,,,,,,,,,,,,,,,,,
184.104.194.238,,,,,,,,,,,,,,,,,,,,,146.48000000000002,,,,,,,,,,,,,,,,
103.16.103.48,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
5.223.0.86,,,,,,,,,,,,,,,,,,,,,,,0.08499999999997954,,,,,,,,,,,,,,
5.223.8.141,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
5.223.62.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.248.99.52,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
62.115.112.156,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
62.115.137.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.196000000000002,,,,,,,,,
62.115.137.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.53,,,,,,,,
62.115.139.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.122000000000014,,,,,,,
62.115.115.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.465000000000003,,,,,,
62.115.139.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.329000000000008,,,,,
62.115.115.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
62.115.112.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
80.239.132.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
5.78.0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.663999999999987,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.240000000000009
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
