,5.223.62.210,5.223.8.141,5.223.0.133,5.223.0.81,5.223.0.69,62.115.170.54,62.115.136.198,62.115.140.42,62.115.136.250,62.115.138.104,62.115.122.35,62.115.137.118,213.248.95.243,213.239.224.26,213.239.228.14,213.239.228.62,65.108.117.172,65.108.94.222,5.223.0.181,5.223.0.77,103.60.60.117,132.147.112.109,184.105.64.138,5.78.0.78,5.78.8.250,5.78.98.32
5.223.62.210,,0.0,0.0,0.42500000000000004,0.42500000000000004,2.188,3.454,141.724,153.746,174.848,179.613,179.613,179.613,179.613,179.613,180.357,180.357,182.278,0.0,0.0,1.107,1.248,152.002,152.002,152.002,152.002
5.223.8.141,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,
5.223.0.133,0.0,0.0,,0.42500000000000004,,,,,,,,,,,,,,,,,,,,,,
5.223.0.81,0.42500000000000004,,0.42500000000000004,,0.0,,,,,,,,,,,,,,,,,,,,,
5.223.0.69,0.42500000000000004,,,0.0,,1.7630000000000001,,,,,,,,,,,,,,,,,,,,
62.115.170.54,2.188,,,,1.7630000000000001,,1.266,,,,,,,,,,,,,,,,,,,
62.115.136.198,3.454,,,,,1.266,,138.26999999999998,,,,,,,,,,,,,,,,,,
62.115.140.42,141.724,,,,,,138.26999999999998,,12.02200000000002,,,,,,,,,,,,,,,,,
62.115.136.250,153.746,,,,,,,12.02200000000002,,21.102000000000004,,,,,,,,,,,,,,,,
62.115.138.104,174.848,,,,,,,,21.102000000000004,,4.764999999999986,,,,,,,,,,,,,,,
62.115.122.35,179.613,,,,,,,,,4.764999999999986,,0.0,,,,,,,,,,,,,,
62.115.137.118,179.613,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,
213.248.95.243,179.613,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,
213.239.224.26,179.613,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
213.239.228.14,179.613,,,,,,,,,,,,,0.0,,0.7439999999999998,,,,,,,,,,
213.239.228.62,180.357,,,,,,,,,,,,,,0.7439999999999998,,0.0,,,,,,,,,
65.108.117.172,180.357,,,,,,,,,,,,,,,0.0,,1.9209999999999923,,,,,,,,
65.108.94.222,182.278,,,,,,,,,,,,,,,,1.9209999999999923,,,,,,,,,
5.223.0.181,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,
5.223.0.77,0.0,,,,,,,,,,,,,,,,,,0.0,,1.107,,,,,
103.60.60.117,1.107,,,,,,,,,,,,,,,,,,,1.107,,0.14100000000000001,,,,
132.147.112.109,1.248,,,,,,,,,,,,,,,,,,,,0.14100000000000001,,150.75400000000002,,,
184.105.64.138,152.002,,,,,,,,,,,,,,,,,,,,,150.75400000000002,,0.0,,
5.78.0.78,152.002,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
5.78.8.250,152.002,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
5.78.98.32,152.002,,,,,,,,,,,,,,,,,,,,,,,,0.0,
