,5.223.62.210,5.223.8.141,5.223.0.133,5.223.0.81,5.223.0.69,62.115.170.54,62.115.136.198,62.115.140.42,62.115.136.250,62.115.138.104,62.115.122.35,62.115.137.118,213.248.95.243,213.239.224.26,213.239.228.14,213.239.228.62,65.108.117.172,65.108.94.222,5.223.0.181,5.223.0.77,103.60.60.117,132.147.112.109,184.105.64.138,5.78.0.78,5.78.8.250,5.78.98.32,5.223.0.85,62.115.140.50,5.223.0.73
5.223.62.210,,0.0,0.0,0.0,0.0,2.871,3.9530000000000003,,154.512,175.036,175.036,175.036,175.036,180.386,180.386,180.386,180.386,181.456,,,0.0,0.7009999999999998,151.499,151.499,152.136,152.136,,140.746,0.0
5.223.8.141,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.133,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
5.223.0.81,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.69,,,,,,2.871,,,,,,,,,,,,,,,,,,,,,,,
62.115.170.54,,,,,,,1.0820000000000003,,,,,,,,,,,,,,,,,,,,,,
62.115.136.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.793,
62.115.140.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.136.250,,,,,,,,,,20.524,,,,,,,,,,,,,,,,,,,
62.115.138.104,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
62.115.122.35,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
62.115.137.118,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
213.248.95.243,,,,,,,,,,,,,,5.349999999999994,,,,,,,,,,,,,,,
213.239.224.26,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
213.239.228.14,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
213.239.228.62,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
65.108.117.172,,,,,,,,,,,,,,,,,,1.0699999999999932,,,,,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.60.60.117,,,,,,,,,,,,,,,,,,,,,,0.7009999999999998,,,,,,,
132.147.112.109,,,,,,,,,,,,,,,,,,,,,,,150.798,,,,,,
184.105.64.138,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
5.78.0.78,,,,,,,,,,,,,,,,,,,,,,,,,0.6370000000000005,,,,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.140.50,,,,,,,,,13.765999999999991,,,,,,,,,,,,,,,,,,,,
5.223.0.73,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
