,5.223.62.210,5.223.8.141,5.223.0.133,5.223.0.81,5.223.0.69,62.115.170.54,62.115.136.198,62.115.140.42,62.115.136.250,62.115.138.104,62.115.122.35,62.115.137.118,213.248.95.243,213.239.224.26,213.239.228.14,213.239.228.62,65.108.117.172,65.108.94.222,5.223.0.181,5.223.0.77,103.60.60.117,132.147.112.109,184.105.64.138,5.78.0.78,5.78.8.250,5.78.98.32,5.223.0.85,62.115.140.50,5.223.0.73,184.105.64.254
5.223.62.210,,0.0,,,0.0,0.0,0.0,,,174.718,179.565,179.565,180.145,180.145,180.145,180.905,180.905,182.367,0.0,0.29200000000000004,1.163,1.163,152.78900000000002,152.813,152.976,152.976,0.0,152.351,,
5.223.8.141,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.223.0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.69,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
62.115.170.54,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
62.115.136.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.351,,
62.115.140.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.136.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.138.104,,,,,,,,,,,4.847000000000008,,,,,,,,,,,,,,,,,,,
62.115.122.35,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
62.115.137.118,,,,,,,,,,,,,0.5800000000000125,,,,,,,,,,,,,,,,,
213.248.95.243,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
213.239.224.26,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
213.239.228.14,,,,,,,,,,,,,,,,0.7599999999999909,,,,,,,,,,,,,,
213.239.228.62,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
65.108.117.172,,,,,,,,,,,,,,,,,,1.461999999999989,,,,,,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.181,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,
5.223.0.77,,,,,,,,,,,,,,,,,,,,,0.871,,,,,,,,,
103.60.60.117,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
132.147.112.109,,,,,,,,,,,,,,,,,,,,,,,151.626,,,,,,,
184.105.64.138,,,,,,,,,,,,,,,,,,,,,,,,0.023999999999972488,,,,,,
5.78.0.78,,,,,,,,,,,,,,,,,,,,,,,,,0.16300000000001091,,,,,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.0.85,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.140.50,,,,,,,,,,22.36699999999999,,,,,,,,,,,,,,,,,,,,
5.223.0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184.105.64.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
