,5.78.98.32,5.78.8.250,5.78.0.185,5.78.0.77,4.39.3.245,171.75.10.35,212.133.6.2,213.239.224.26,213.239.228.6,213.239.228.38,65.108.117.172,65.108.94.222,198.32.195.42,184.105.64.137,5.223.0.82,5.223.8.141,5.223.62.210,184.105.213.118,184.105.64.253
5.78.98.32,,0.0,0.0,0.16549999999999995,0.6535,174.5385,175.019,176.9075,176.959,176.9615,176.9615,177.377,,3.0159999999999996,151.9015,152.4355,152.6955,85.392,148.83700000000002
5.78.8.250,,,0.0,,,,,,,,,,,,,,,,
5.78.0.185,,,,0.16549999999999995,,,,,,,,,,,,,,,
5.78.0.77,,,,,0.488,,,,,,,,,,,,,,
4.39.3.245,,,,,,173.88500000000002,,,,,,,,,,,,,
171.75.10.35,,,,,,,0.4804999999999922,,,,,,,,,,,,
212.133.6.2,,,,,,,,1.8884999999999934,,,,,,,,,,,
213.239.224.26,,,,,,,,,0.0514999999999901,,,,,,,,,,
213.239.228.6,,,,,,,,,,0.0025000000000119,,,,,,,,,
213.239.228.38,,,,,,,,,,,0.0,,,,,,,,
65.108.117.172,,,,,,,,,,,,0.41549999999999443,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,
198.32.195.42,,,,,,,,,,,,,,,,,,,
184.105.64.137,,,,,,,,,,,,,,,,,,83.797,
5.223.0.82,,,,,,,,,,,,,,,,0.5339999999999918,,,
5.223.8.141,,,,,,,,,,,,,,,,,0.2600000000000193,,
5.223.62.210,,,,,,,,,,,,,,,,,,,
184.105.213.118,,,,,,,,,,,,,,,,,,,63.44500000000002
184.105.64.253,,,,,,,,,,,,,,,2.3999999999999773,,,,
