,172.31.1.1,5.78.8.250,5.78.0.185,5.78.0.77,4.39.3.245,171.75.10.35,212.133.6.2,213.239.224.26,213.239.228.6,213.239.228.38,65.108.117.172,65.108.94.222,198.32.195.42,184.105.64.137,184.105.213.118,5.223.0.82,5.223.8.141,5.223.62.210
172.31.1.1,,0.0,0.0,0.0,0.846,175.977,175.977,175.977,175.977,175.977,177.20000000000002,177.296,1.265,4.234999999999999,86.142,145.459,152.50400000000002,152.50400000000002
5.78.8.250,0.0,,0.0,,,,,,,,,,,,,,,
5.78.0.185,0.0,0.0,,0.0,,,,,,,,,,,,,,
5.78.0.77,0.0,,0.0,,0.7980000000000002,,,,,,,,1.265,,,,,
4.39.3.245,0.846,,,0.7980000000000002,,175.131,,,,,,,,,,,,
171.75.10.35,175.977,,,,175.131,,0.0,,,,,,,,,,,
212.133.6.2,175.977,,,,,0.0,,0.0,,,,,,,,,,
213.239.224.26,175.977,,,,,,0.0,,0.0,,,,,,,,,
213.239.228.6,175.977,,,,,,,0.0,,0.0,,,,,,,,
213.239.228.38,175.977,,,,,,,,0.0,,1.2230000000000132,,,,,,,
65.108.117.172,177.20000000000002,,,,,,,,,1.2230000000000132,,0.09599999999997522,,,,,,
65.108.94.222,177.296,,,,,,,,,,0.09599999999997522,,,,,,,
198.32.195.42,1.265,,,1.265,,,,,,,,,,2.9699999999999998,,,,
184.105.64.137,4.234999999999999,,,,,,,,,,,,2.9699999999999998,,81.907,,,
184.105.213.118,86.142,,,,,,,,,,,,,81.907,,59.31700000000001,,
5.223.0.82,145.459,,,,,,,,,,,,,,59.31700000000001,,7.045000000000016,
5.223.8.141,152.50400000000002,,,,,,,,,,,,,,,7.045000000000016,,0.0
5.223.62.210,152.50400000000002,,,,,,,,,,,,,,,,0.0,
