,5.78.98.32,5.78.8.250,5.78.0.185,5.78.0.77,4.39.3.245,171.75.10.35,212.133.6.2,213.239.224.26,213.239.228.6,213.239.228.38,65.108.117.172,65.108.94.222,198.32.195.42,184.105.64.137,5.223.0.82,5.223.8.141,5.223.62.210
5.78.98.32,,0.0,0.0,0.33099999999999996,0.6830000000000003,172.949,172.949,176.726,176.726,176.726,176.726,177.333,1.227,4.437,152.566,152.566,152.566
5.78.8.250,,,0.0,,,,,,,,,,,,,,
5.78.0.185,,,,0.33099999999999996,,,,,,,,,,,,,
5.78.0.77,,,,,0.3520000000000003,,,,,,,,0.7610000000000001,,,,
4.39.3.245,,,,,,172.26600000000002,,,,,,,,,,,
171.75.10.35,,,,,,,0.0,,,,,,,,,,
212.133.6.2,,,,,,,,3.776999999999987,,,,,,,,,
213.239.224.26,,,,,,,,,0.0,,,,,,,,
213.239.228.6,,,,,,,,,,0.0,,,,,,,
213.239.228.38,,,,,,,,,,,0.0,,,,,,
65.108.117.172,,,,,,,,,,,,0.6069999999999993,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,
198.32.195.42,,,,,,,,,,,,,,3.21,,,
184.105.64.137,,,,,,,,,,,,,,,148.129,,
5.223.0.82,,,,,,,,,,,,,,,,0.0,
5.223.8.141,,,,,,,,,,,,,,,,,0.0
5.223.62.210,,,,,,,,,,,,,,,,,
