,5.78.98.32,5.78.8.250,5.78.0.185,5.78.0.77,4.39.3.245,171.75.10.35,212.133.6.2,213.239.224.26,213.239.228.6,213.239.228.38,65.108.117.172,65.108.94.222,198.32.195.42,184.105.64.137,5.223.0.82,5.223.8.141,5.223.62.210,184.105.213.118,184.105.64.253
5.78.98.32,,0.0,0.0,0.0,0.0,165.59,165.59,165.59,165.59,165.59,177.111,177.369,1.2790000000000001,4.306,147.496,152.666,153.89000000000001,86.072,147.496
5.78.8.250,,,0.0,,,,,,,,,,,,,,,,
5.78.0.185,,,,0.0,,,,,,,,,,,,,,,
5.78.0.77,,,,,0.0,,,,,,,,0.8780000000000001,,,,,,
4.39.3.245,,,,,,165.59,,,,,,,,,,,,,
171.75.10.35,,,,,,,0.0,,,,,,,,,,,,
212.133.6.2,,,,,,,,0.0,,,,,,,,,,,
213.239.224.26,,,,,,,,,0.0,,,,,,,,,,
213.239.228.6,,,,,,,,,,0.0,,,,,,,,,
213.239.228.38,,,,,,,,,,,11.520999999999987,,,,,,,,
65.108.117.172,,,,,,,,,,,,0.2580000000000098,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,
198.32.195.42,,,,,,,,,,,,,,3.027,,,,,
184.105.64.137,,,,,,,,,,,,,,,,,,81.766,
5.223.0.82,,,,,,,,,,,,,,,,5.1699999999999875,,,
5.223.8.141,,,,,,,,,,,,,,,,,1.224000000000018,,
5.223.62.210,,,,,,,,,,,,,,,,,,,
184.105.213.118,,,,,,,,,,,,,,,,,,,61.42400000000001
184.105.64.253,,,,,,,,,,,,,,,0.0,,,,
