,65.108.94.222,65.108.117.172,88.198.254.105,213.239.228.37,213.239.228.1,213.239.224.37,213.248.95.242,62.115.137.135,62.115.123.26,62.115.143.29,62.115.136.249,62.115.140.55,62.115.136.199,62.115.170.55,5.223.0.74,5.223.8.141,5.223.62.210,88.198.254.109,213.239.228.41,212.133.6.1,4.69.218.234,4.36.13.30,5.78.0.82,5.78.8.250,5.78.98.32
65.108.94.222,,0.0,0.0,0.204,0.0,0.1523333333333333,0.431,1.1923333333333332,7.663333333333333,29.58866666666667,45.285,174.71966666666663,174.71966666666663,174.71966666666663,176.8443333333333,181.36266666666666,181.36766666666665,0.0,0.0,0.6906666666666667,167.285,171.64833333333334,171.64833333333334,176.737,176.80566666666667
65.108.117.172,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,
88.198.254.105,,,,0.204,,,,,,,,,,,,,,,,,,,,,
213.239.228.37,,,,,0.005666666666666667,,,,,,,,,,,,,,,,,,,,
213.239.228.1,,,,,,0.029999999999999968,,,,,,,,,,,,,,,,,,,
213.239.224.37,,,,,,,0.15199999999999997,,,,,,,,,,,,,0.48233333333333334,,,,,
213.248.95.242,,,,,,,,0.7613333333333334,,,,,,,,,,,,,,,,,
62.115.137.135,,,,,,,,,6.471,,,,,,,,,,,,,,,,
62.115.123.26,,,,,,,,,,21.925333333333338,,,,,,,,,,,,,,,
62.115.143.29,,,,,,,,,,,15.696333333333333,,,,,,,,,,,,,,
62.115.136.249,,,,,,,,,,,,129.43466666666666,,,,,,,,,,,,,
62.115.140.55,,,,,,,,,,,,,0.0,,,,,,,,,,,,
62.115.136.199,,,,,,,,,,,,,,0.0,,,,,,,,,,,
62.115.170.55,,,,,,,,,,,,,,,2.1246666666666747,,,,,,,,,,
5.223.0.74,,,,,,,,,,,,,,,,4.518333333333336,,,,,,,,,
5.223.8.141,,,,,,,,,,,,,,,,,0.0049999999999954334,,,,,,,,
5.223.62.210,,,,,,,,,,,,,,,,,,,,,,,,,
88.198.254.109,,,,,,,,,,,,,,,,,,,0.0,,,,,,
213.239.228.41,,,,,0.0,,,,,,,,,,,,,,,,,,,,
212.133.6.1,,,,,,,,,,,,,,,,,,,,,166.59433333333334,,,,
4.69.218.234,,,,,,,,,,,,,,,,,,,,,,4.363333333333334,,,
4.36.13.30,,,,,,,,,,,,,,,,,,,,,,,0.0,,
5.78.0.82,,,,,,,,,,,,,,,,,,,,,,,,5.088666666666673,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,0.0686666666666724
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,
