,65.108.94.222,65.108.117.172,88.198.254.105,213.239.228.37,213.239.228.1,213.239.224.37,213.248.95.242,62.115.137.135,62.115.123.26,62.115.143.29,62.115.136.249,62.115.140.55,62.115.136.199,62.115.170.55,5.223.0.74,5.223.8.141,5.223.62.210,88.198.254.109,213.239.228.41,212.133.6.1,4.69.218.234,4.36.13.30,5.78.0.82,5.78.8.250,5.78.98.32
65.108.94.222,,0.0,0.0,0.0,0.0,0.0,0.358,1.386,6.9190000000000005,30.448,45.579,181.563,181.563,181.563,182.216,182.216,182.216,0.0,0.264,0.933,176.767,176.767,176.767,176.767,176.767
65.108.117.172,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,
88.198.254.105,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
213.239.228.37,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
213.239.228.1,0.0,,,0.0,,0.0,,,,,,,,,,,,,0.126,,,,,,
213.239.224.37,0.0,,,,0.0,,0.358,,,,,,,,,,,,,0.543,,,,,
213.248.95.242,0.358,,,,,0.358,,1.028,,,,,,,,,,,,,,,,,
62.115.137.135,1.386,,,,,,1.028,,5.533,,,,,,,,,,,,,,,,
62.115.123.26,6.9190000000000005,,,,,,,5.533,,23.529,,,,,,,,,,,,,,,
62.115.143.29,30.448,,,,,,,,23.529,,15.131,,,,,,,,,,,,,,
62.115.136.249,45.579,,,,,,,,,15.131,,135.98399999999998,,,,,,,,,,,,,
62.115.140.55,181.563,,,,,,,,,,135.98399999999998,,0.0,,,,,,,,,,,,
62.115.136.199,181.563,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
62.115.170.55,181.563,,,,,,,,,,,,0.0,,0.65300000000002,,,,,,,,,,
5.223.0.74,182.216,,,,,,,,,,,,,0.65300000000002,,0.0,,,,,,,,,
5.223.8.141,182.216,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,
5.223.62.210,182.216,,,,,,,,,,,,,,,0.0,,,,,,,,,
88.198.254.109,0.0,0.0,,,,,,,,,,,,,,,,,0.264,,,,,,
213.239.228.41,0.264,,,,0.126,,,,,,,,,,,,,0.264,,,,,,,
212.133.6.1,0.933,,,,,0.543,,,,,,,,,,,,,,,175.834,,,,
4.69.218.234,176.767,,,,,,,,,,,,,,,,,,,175.834,,0.0,,,
4.36.13.30,176.767,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,
5.78.0.82,176.767,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
5.78.8.250,176.767,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
5.78.98.32,176.767,,,,,,,,,,,,,,,,,,,,,,,0.0,
