,65.108.94.222,65.108.117.172,88.198.254.105,213.239.228.37,213.239.228.1,213.239.224.37,213.248.95.242,62.115.137.135,62.115.123.26,62.115.143.29,62.115.136.249,62.115.140.55,62.115.136.199,62.115.170.55,5.223.0.74,5.223.8.141,5.223.62.210,88.198.254.109,213.239.228.41,212.133.6.1,4.69.218.234,4.36.13.30,5.78.0.82,5.78.8.250,5.78.98.32
65.108.94.222,,0.0,0.0,0.259,0.0,0.0,0.38,1.467,7.593,29.489,45.577,175.93099999999998,175.93099999999998,175.93099999999998,182.305,182.305,182.32,0.0,0.0,0.842,163.41400000000002,176.50400000000002,176.50400000000002,176.50400000000002,176.50400000000002
65.108.117.172,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,
88.198.254.105,,,,0.259,,,,,,,,,,,,,,,,,,,,,
213.239.228.37,,,,,0.0030000000000000027,,,,,,,,,,,,,,,,,,,,
213.239.228.1,,,,,,0.0,,,,,,,,,,,,,,,,,,,
213.239.224.37,,,,,,,0.0,,,,,,,,,,,,,0.842,,,,,
213.248.95.242,,,,,,,,1.0870000000000002,,,,,,,,,,,,,,,,,
62.115.137.135,,,,,,,,,6.1259999999999994,,,,,,,,,,,,,,,,
62.115.123.26,,,,,,,,,,21.896,,,,,,,,,,,,,,,
62.115.143.29,,,,,,,,,,,16.087999999999997,,,,,,,,,,,,,,
62.115.136.249,,,,,,,,,,,,130.35399999999998,,,,,,,,,,,,,
62.115.140.55,,,,,,,,,,,,,0.0,,,,,,,,,,,,
62.115.136.199,,,,,,,,,,,,,,0.0,,,,,,,,,,,
62.115.170.55,,,,,,,,,,,,,,,6.374000000000024,,,,,,,,,,
5.223.0.74,,,,,,,,,,,,,,,,0.0,,,,,,,,,
5.223.8.141,,,,,,,,,,,,,,,,,0.014999999999986358,,,,,,,,
5.223.62.210,,,,,,,,,,,,,,,,,,,,,,,,,
88.198.254.109,,,,,,,,,,,,,,,,,,,0.0,,,,,,
213.239.228.41,,,,,0.0,,,,,,,,,,,,,,,,,,,,
212.133.6.1,,,,,,,,,,,,,,,,,,,,,162.572,,,,
4.69.218.234,,,,,,,,,,,,,,,,,,,,,,13.090000000000003,,,
4.36.13.30,,,,,,,,,,,,,,,,,,,,,,,0.0,,
5.78.0.82,,,,,,,,,,,,,,,,,,,,,,,,0.0,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,0.0
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,
