,65.108.94.222,65.108.117.172,88.198.254.105,213.239.228.37,213.239.228.1,213.239.224.37,213.248.95.242,62.115.137.135,62.115.123.26,62.115.143.29,62.115.136.249,62.115.140.55,62.115.136.199,62.115.170.55,5.223.0.74,5.223.8.141,5.223.62.210,88.198.254.109,213.239.228.41,212.133.6.1,4.69.218.234,4.36.13.30,5.78.0.82,5.78.8.250,5.78.98.32,62.115.137.119,62.115.122.32,62.115.141.219
65.108.94.222,,0.0,0.0,0.0,0.0,0.0,0.41300000000000003,,,29.482,45.042,,180.139,180.139,182.381,182.381,182.381,0.0,0.0,1.3309999999999995,158.654,168.48000000000002,168.48000000000002,176.952,177.374,1.153,7.604,180.139
65.108.117.172,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,
88.198.254.105,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
213.239.228.37,,,,,0.39000000000000007,,,,,,,,,,,,,,,,,,,,,,,
213.239.228.1,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
213.239.224.37,,,,,,,0.022999999999999965,,,,,,,,,,,,,1.3309999999999995,,,,,,,,
213.248.95.242,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,
62.115.137.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.123.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.143.29,,,,,,,,,,,15.560000000000002,,,,,,,,,,,,,,,,,
62.115.136.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.097
62.115.140.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.136.199,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
62.115.170.55,,,,,,,,,,,,,,,2.2419999999999902,,,,,,,,,,,,,
5.223.0.74,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
5.223.8.141,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
5.223.62.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.198.254.109,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
213.239.228.41,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
212.133.6.1,,,,,,,,,,,,,,,,,,,,,157.323,,,,,,,
4.69.218.234,,,,,,,,,,,,,,,,,,,,,,9.826000000000022,,,,,,
4.36.13.30,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
5.78.0.82,,,,,,,,,,,,,,,,,,,,,,,,8.47199999999998,,,,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,0.42199999999999704,,,
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.137.119,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4510000000000005,
62.115.122.32,,,,,,,,,,21.878,,,,,,,,,,,,,,,,,,
62.115.141.219,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
