,212.133.6.1,213.239.224.37,213.239.228.1,213.239.228.37,213.239.228.41,213.248.95.242,4.36.13.30,4.69.218.234,5.223.0.74,5.223.62.210,5.223.8.141,5.78.0.82,5.78.8.250,5.78.98.32,62.115.123.26,62.115.136.199,62.115.136.249,62.115.137.135,62.115.140.55,62.115.143.29,62.115.170.55,65.108.117.172,65.108.94.222,88.198.254.105,88.198.254.109
212.133.6.1,,,,,,,,164.10500000000002,,,,,,,,,,,,,,,,,
213.239.224.37,0.7235,,,,,0.0,,,,,,,,,,,,,,,,,,,
213.239.228.1,,0.04499999999999995,,,,,,,,,,,,,,,,,,,,,,,
213.239.228.37,,,0.0085,,,,,,,,,,,,,,,,,,,,,,
213.239.228.41,,,0.0,,,,,,,,,,,,,,,,,,,,,,
213.248.95.242,,,,,,,,,,,,,,,,,,0.6650000000000001,,,,,,,
4.36.13.30,,,,,,,,,,,,0.0,,,,,,,,,,,,,
4.69.218.234,,,,,,,6.545000000000002,,,,,,,,,,,,,,,,,,
5.223.0.74,,,,,,,,,,,0.0,,,,,,,,,,,,,,
5.223.62.210,,,,,,,,,,,,,,,,,,,,,,,,,
5.223.8.141,,,,,,,,,,0.00749999999999315,,,,,,,,,,,,,,,
5.78.0.82,,,,,,,,,,,,,5.072000000000002,,,,,,,,,,,,
5.78.8.250,,,,,,,,,,,,,,0.1030000000000086,,,,,,,,,,,
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,
62.115.123.26,,,,,,,,,,,,,,,,,,,,21.890500000000003,,,,,
62.115.136.199,,,,,,,,,,,,,,,,,,,,,0.0,,,,
62.115.136.249,,,,,,,,,,,,,,,,,,,133.016,,,,,,
62.115.137.135,,,,,,,,,,,,,,,6.583,,,,,,,,,,
62.115.140.55,,,,,,,,,,,,,,,,0.0,,,,,,,,,
62.115.143.29,,,,,,,,,,,,,,,,,15.565,,,,,,,,
62.115.170.55,,,,,,,,,3.187000000000012,,,,,,,,,,,,,,,,
65.108.117.172,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
65.108.94.222,1.036,0.22849999999999995,0.0,0.306,0.0,0.4185,171.686,165.14100000000002,181.325,181.33249999999998,181.325,171.686,176.758,176.86100000000002,7.666499999999999,178.13799999999998,45.122,1.0835000000000001,178.13799999999998,29.557000000000002,178.13799999999998,0.0,,0.0,0.0
88.198.254.105,,,,0.306,,,,,,,,,,,,,,,,,,,,,
88.198.254.109,,,,,0.0,,,,,,,,,,,,,,,,,,,,
