,172.18.176.1,192.168.0.1,83.169.183.70,88.134.202.165,145.254.3.100,145.254.2.207,213.133.121.197,213.239.224.113,213.239.203.210,94.130.9.22,213.133.113.25,213.239.224.217,213.239.224.154,213.239.252.206,95.216.230.106,88.134.202.217,145.254.3.102,145.254.2.209,213.133.121.193,213.239.252.9,213.239.224.150,213.239.252.210,135.181.2.250,213.239.224.105,213.239.227.209,213.239.239.90,162.55.115.238,78.47.227.144,213.239.224.221,213.239.224.169,95.216.230.96,213.239.252.202,65.108.71.46,213.239.224.130,135.181.143.150,213.133.113.9,213.239.224.174,213.239.224.138,95.217.125.125,213.239.252.18,213.239.224.165,213.239.245.114,65.21.136.102,213.239.224.81,213.239.229.46,142.132.192.57
172.18.176.1,,3.57,13.234,14.626,14.732000000000005,18.262,21.265,21.875,21.875,24.882,20.885,21.58,38.949,40.977,40.977,13.64,14.888,14.888,16.455999999999996,21.519,39.30800000000001,40.615,40.615,24.785,25.949,26.32,26.32,26.32,20.885,39.862,41.792,40.94,40.94,41.721,41.721,23.171,23.171,41.777,41.777,22.63,23.154,41.941,41.941,24.732,24.732,27.905
192.168.0.1,3.57,,7.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.169.183.70,13.234,7.416,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.134.202.165,14.626,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.254.3.100,14.732000000000005,,,0.0,,0.1080000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.254.2.207,18.262,,,,0.1080000000000005,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
213.133.121.197,21.265,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,1.490000000000002,,,,,,,,,,,,,,,,,,,,,,
213.239.224.113,21.875,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.239.203.210,21.875,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.130.9.22,24.882,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.133.113.25,20.885,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
213.239.224.217,21.58,,,,,,,,,,0.0,,17.028000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.239.224.154,38.949,,,,,,,,,,,17.028000000000002,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.239.252.206,40.977,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
95.216.230.106,40.977,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.134.202.217,13.64,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.254.3.102,14.888,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.254.2.209,14.888,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
